GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Native,Margin of Error; Total: - Native,Estimate; Total: - Foreign born:,Margin of Error; Total: - Foreign born:,Estimate; Total: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total: - Foreign born: - Naturalized U.S. citizen,Estimate; Total: - Foreign born: - Not a U.S. citizen,Margin of Error; Total: - Foreign born: - Not a U.S. citizen,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Native,Margin of Error; Total: - Same house 1 year ago: - Native,Estimate; Total: - Same house 1 year ago: - Foreign born:,Margin of Error; Total: - Same house 1 year ago: - Foreign born:,Estimate; Total: - Same house 1 year ago: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total: - Same house 1 year ago: - Foreign born: - Naturalized U.S. citizen,Estimate; Total: - Same house 1 year ago: - Foreign born: - Not a U.S. citizen,Margin of Error; Total: - Same house 1 year ago: - Foreign born: - Not a U.S. citizen,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Native,Margin of Error; Total: - Moved within same county: - Native,Estimate; Total: - Moved within same county: - Foreign born:,Margin of Error; Total: - Moved within same county: - Foreign born:,Estimate; Total: - Moved within same county: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total: - Moved within same county: - Foreign born: - Naturalized U.S. citizen,Estimate; Total: - Moved within same county: - Foreign born: - Not a U.S. citizen,Margin of Error; Total: - Moved within same county: - Foreign born: - Not a U.S. citizen,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Native,Margin of Error; Total: - Moved from different county within same state: - Native,Estimate; Total: - Moved from different county within same state: - Foreign born:,Margin of Error; Total: - Moved from different county within same state: - Foreign born:,Estimate; Total: - Moved from different county within same state: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total: - Moved from different county within same state: - Foreign born: - Naturalized U.S. citizen,Estimate; Total: - Moved from different county within same state: - Foreign born: - Not a U.S. citizen,Margin of Error; Total: - Moved from different county within same state: - Foreign born: - Not a U.S. citizen,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Native,Margin of Error; Total: - Moved from different state: - Native,Estimate; Total: - Moved from different state: - Foreign born:,Margin of Error; Total: - Moved from different state: - Foreign born:,Estimate; Total: - Moved from different state: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total: - Moved from different state: - Foreign born: - Naturalized U.S. citizen,Estimate; Total: - Moved from different state: - Foreign born: - Not a U.S. citizen,Margin of Error; Total: - Moved from different state: - Foreign born: - Not a U.S. citizen,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Native,Margin of Error; Total: - Moved from abroad: - Native,Estimate; Total: - Moved from abroad: - Foreign born:,Margin of Error; Total: - Moved from abroad: - Foreign born:,Estimate; Total: - Moved from abroad: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Total: - Moved from abroad: - Foreign born: - Naturalized U.S. citizen,Estimate; Total: - Moved from abroad: - Foreign born: - Not a U.S. citizen,Margin of Error; Total: - Moved from abroad: - Foreign born: - Not a U.S. citizen
0100000US,,United States,317248555,13812,274245530,125652,43003025,123840,20685163,32311,22317862,129121,270854872,198355,234392270,283256,36462602,94272,18689239,31416,17773363,101841,26717038,141098,23279181,123852,3437857,25588,1213965,10607,2223892,21789,10247779,46126,9321117,41781,926662,9626,383628,5777,543034,7587,7354769,34903,6548511,30645,806258,9480,313409,4875,492849,7312,2074097,16486,704451,8912,1369646,15339,84922,2560,1284724,15265
